image_path,true_label,anomaly_score,predicted_prob,predicted_label
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0000.png,1,42.259365,0.1565,0
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0001.png,1,43.364803,0.2647,1
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0002.png,1,43.165459,0.2452,1
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0003.png,1,43.238735,0.2524,1
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0004.png,1,42.456238,0.1757,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0000.png,1,44.982311,0.4231,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0001.png,1,45.373886,0.4614,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0002.png,1,50.874142,1.0,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0003.png,1,50.611202,0.9743,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0004.png,1,49.477776,0.8633,1
data/raw/engine_wiring/engine_wiring/test/fastening/0000.png,1,42.284889,0.159,0
data/raw/engine_wiring/engine_wiring/test/fastening/0001.png,1,42.004047,0.1315,0
data/raw/engine_wiring/engine_wiring/test/fastening/0002.png,1,42.945175,0.2236,1
data/raw/engine_wiring/engine_wiring/test/fastening/0003.png,1,43.128902,0.2416,1
data/raw/engine_wiring/engine_wiring/test/fastening/0004.png,1,43.144386,0.2431,1
data/raw/engine_wiring/engine_wiring/test/fastening/0005.png,1,42.934547,0.2226,1
data/raw/engine_wiring/engine_wiring/test/fastening/0006.png,1,42.356731,0.166,0
data/raw/engine_wiring/engine_wiring/test/fastening/0007.png,1,42.612743,0.1911,1
data/raw/engine_wiring/engine_wiring/test/fastening/0008.png,1,42.81675,0.211,1
data/raw/engine_wiring/engine_wiring/test/fastening/0009.png,1,43.79668,0.307,1
data/raw/engine_wiring/engine_wiring/test/fastening/0010.png,1,42.450016,0.1751,1
data/raw/engine_wiring/engine_wiring/test/fastening/0011.png,1,42.881294,0.2174,1
data/raw/engine_wiring/engine_wiring/test/fastening/0012.png,1,42.593666,0.1892,1
data/raw/engine_wiring/engine_wiring/test/fastening/0013.png,1,43.175426,0.2462,1
data/raw/engine_wiring/engine_wiring/test/fastening/0014.png,1,44.189972,0.3455,1
data/raw/engine_wiring/engine_wiring/test/fastening/0015.png,1,42.233028,0.1539,0
data/raw/engine_wiring/engine_wiring/test/fastening/0016.png,1,42.526829,0.1827,1
data/raw/engine_wiring/engine_wiring/test/fastening/0017.png,1,42.496162,0.1797,1
data/raw/engine_wiring/engine_wiring/test/fastening/0018.png,1,42.589836,0.1888,1
data/raw/engine_wiring/engine_wiring/test/fastening/0019.png,1,42.830391,0.2124,1
data/raw/engine_wiring/engine_wiring/test/fastening/0020.png,1,42.826488,0.212,1
data/raw/engine_wiring/engine_wiring/test/fastening/0021.png,1,44.695621,0.395,1
data/raw/engine_wiring/engine_wiring/test/fastening/0022.png,1,42.336334,0.164,0
data/raw/engine_wiring/engine_wiring/test/fastening/0023.png,1,42.9081,0.22,1
data/raw/engine_wiring/engine_wiring/test/fastening/0024.png,1,44.331707,0.3594,1
data/raw/engine_wiring/engine_wiring/test/fastening/0025.png,1,41.379147,0.0703,0
data/raw/engine_wiring/engine_wiring/test/fastening/0026.png,1,43.614338,0.2891,1
data/raw/engine_wiring/engine_wiring/test/fastening/0027.png,1,43.312225,0.2596,1
data/raw/engine_wiring/engine_wiring/test/fastening/0028.png,1,42.40033,0.1703,0
data/raw/engine_wiring/engine_wiring/test/fastening/0029.png,1,43.0079,0.2298,1
data/raw/engine_wiring/engine_wiring/test/fastening/0030.png,1,42.94698,0.2238,1
