image_path,true_label,anomaly_score,predicted_label
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0000.png,1,42.213417,0
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0001.png,1,43.105526,1
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0002.png,1,43.269085,1
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0003.png,1,43.412655,1
data/raw/engine_wiring/engine_wiring/test/blue_hoop/0004.png,1,42.407269,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0000.png,1,45.003071,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0001.png,1,45.750668,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0002.png,1,50.713467,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0003.png,1,50.841103,1
data/raw/engine_wiring/engine_wiring/test/cardboard/0004.png,1,49.545086,1
data/raw/engine_wiring/engine_wiring/test/fastening/0000.png,1,42.327415,1
data/raw/engine_wiring/engine_wiring/test/fastening/0001.png,1,41.931465,0
data/raw/engine_wiring/engine_wiring/test/fastening/0002.png,1,42.779026,1
data/raw/engine_wiring/engine_wiring/test/fastening/0003.png,1,42.763622,1
data/raw/engine_wiring/engine_wiring/test/fastening/0004.png,1,43.09116,1
data/raw/engine_wiring/engine_wiring/test/fastening/0005.png,1,42.645866,1
data/raw/engine_wiring/engine_wiring/test/fastening/0006.png,1,42.583324,1
data/raw/engine_wiring/engine_wiring/test/fastening/0007.png,1,42.464546,1
data/raw/engine_wiring/engine_wiring/test/fastening/0008.png,1,42.516113,1
data/raw/engine_wiring/engine_wiring/test/fastening/0009.png,1,44.088306,1
data/raw/engine_wiring/engine_wiring/test/fastening/0010.png,1,42.54324,1
data/raw/engine_wiring/engine_wiring/test/fastening/0011.png,1,43.244881,1
data/raw/engine_wiring/engine_wiring/test/fastening/0012.png,1,42.500046,1
data/raw/engine_wiring/engine_wiring/test/fastening/0013.png,1,43.006634,1
data/raw/engine_wiring/engine_wiring/test/fastening/0014.png,1,43.986725,1
data/raw/engine_wiring/engine_wiring/test/fastening/0015.png,1,42.251163,0
data/raw/engine_wiring/engine_wiring/test/fastening/0016.png,1,42.824005,1
data/raw/engine_wiring/engine_wiring/test/fastening/0017.png,1,42.35815,1
data/raw/engine_wiring/engine_wiring/test/fastening/0018.png,1,42.617256,1
data/raw/engine_wiring/engine_wiring/test/fastening/0019.png,1,42.734814,1
data/raw/engine_wiring/engine_wiring/test/fastening/0020.png,1,42.456215,1
data/raw/engine_wiring/engine_wiring/test/fastening/0021.png,1,44.720058,1
data/raw/engine_wiring/engine_wiring/test/fastening/0022.png,1,42.117168,0
data/raw/engine_wiring/engine_wiring/test/fastening/0023.png,1,42.928764,1
data/raw/engine_wiring/engine_wiring/test/fastening/0024.png,1,44.079739,1
data/raw/engine_wiring/engine_wiring/test/fastening/0025.png,1,41.306152,0
data/raw/engine_wiring/engine_wiring/test/fastening/0026.png,1,43.248581,1
data/raw/engine_wiring/engine_wiring/test/fastening/0027.png,1,43.116413,1
data/raw/engine_wiring/engine_wiring/test/fastening/0028.png,1,42.578732,1
data/raw/engine_wiring/engine_wiring/test/fastening/0029.png,1,43.070217,1
data/raw/engine_wiring/engine_wiring/test/fastening/0030.png,1,42.717632,1
data/raw/engine_wiring/engine_wiring/test/fastening/0031.png,1,43.080292,1
data/raw/engine_wiring/engine_wiring/test/fastening/0032.png,1,43.118092,1
data/raw/engine_wiring/engine_wiring/test/fastening/0033.png,1,42.378395,1
data/raw/engine_wiring/engine_wiring/test/fastening/0034.png,1,42.824883,1
data/raw/engine_wiring/engine_wiring/test/fastening/0035.png,1,43.902439,1
data/raw/engine_wiring/engine_wiring/test/fastening/0036.png,1,43.580013,1
data/raw/engine_wiring/engine_wiring/test/fastening/0037.png,1,43.470154,1
data/raw/engine_wiring/engine_wiring/test/fastening/0038.png,1,42.336742,1
data/raw/engine_wiring/engine_wiring/test/fastening/0039.png,1,42.000912,0
data/raw/engine_wiring/engine_wiring/test/fastening/0040.png,1,42.400642,1
data/raw/engine_wiring/engine_wiring/test/fastening/0041.png,1,42.666901,1
data/raw/engine_wiring/engine_wiring/test/fastening/0042.png,1,43.021648,1
data/raw/engine_wiring/engine_wiring/test/fastening/0043.png,1,44.19529,1
