image_path,true_label,anomaly_score,predicted_prob,predicted_label
data/raw/pipe_staple/pipe_staple/test/good/0000.png,0,37.331009,0.3129,1
data/raw/pipe_staple/pipe_staple/test/good/0001.png,0,36.131653,0.095,1
data/raw/pipe_staple/pipe_staple/test/good/0002.png,0,36.328217,0.1307,1
data/raw/pipe_staple/pipe_staple/test/good/0003.png,0,38.959045,0.6087,1
data/raw/pipe_staple/pipe_staple/test/good/0004.png,0,36.885494,0.232,1
data/raw/pipe_staple/pipe_staple/test/good/0005.png,0,37.889263,0.4143,1
data/raw/pipe_staple/pipe_staple/test/good/0006.png,0,36.045925,0.0795,0
data/raw/pipe_staple/pipe_staple/test/good/0007.png,0,36.213749,0.1099,1
data/raw/pipe_staple/pipe_staple/test/good/0008.png,0,37.98925,0.4325,1
data/raw/pipe_staple/pipe_staple/test/good/0009.png,0,36.669933,0.1928,1
data/raw/pipe_staple/pipe_staple/test/good/0010.png,0,36.230923,0.1131,1
data/raw/pipe_staple/pipe_staple/test/good/0011.png,0,36.325939,0.1303,1
data/raw/pipe_staple/pipe_staple/test/good/0012.png,0,35.841473,0.0423,0
data/raw/pipe_staple/pipe_staple/test/good/0013.png,0,35.61507,0.0012,0
data/raw/pipe_staple/pipe_staple/test/good/0014.png,0,36.487885,0.1597,1
data/raw/pipe_staple/pipe_staple/test/good/0015.png,0,36.480877,0.1585,1
data/raw/pipe_staple/pipe_staple/test/good/0016.png,0,37.476585,0.3394,1
data/raw/pipe_staple/pipe_staple/test/good/0017.png,0,37.545105,0.3518,1
data/raw/pipe_staple/pipe_staple/test/good/0018.png,0,37.767506,0.3922,1
data/raw/pipe_staple/pipe_staple/test/good/0019.png,0,36.866238,0.2285,1
data/raw/pipe_staple/pipe_staple/test/good/0020.png,0,36.40229,0.1442,1
data/raw/pipe_staple/pipe_staple/test/good/0021.png,0,36.450344,0.1529,1
data/raw/pipe_staple/pipe_staple/test/good/0022.png,0,36.968842,0.2471,1
data/raw/pipe_staple/pipe_staple/test/good/0023.png,0,37.641964,0.3694,1
data/raw/pipe_staple/pipe_staple/test/good/0024.png,0,35.978371,0.0672,0
data/raw/pipe_staple/pipe_staple/test/good/0025.png,0,36.789589,0.2146,1
data/raw/pipe_staple/pipe_staple/test/good/0026.png,0,36.301598,0.1259,1
data/raw/pipe_staple/pipe_staple/test/good/0027.png,0,37.156139,0.2812,1
data/raw/pipe_staple/pipe_staple/test/good/0028.png,0,37.399704,0.3254,1
data/raw/pipe_staple/pipe_staple/test/good/0029.png,0,35.84454,0.0429,0
data/raw/pipe_staple/pipe_staple/test/good/0030.png,0,36.943325,0.2425,1
data/raw/pipe_staple/pipe_staple/test/good/0031.png,0,36.561485,0.1731,1
data/raw/pipe_staple/pipe_staple/test/good/0032.png,0,39.64753,0.7338,1
data/raw/pipe_staple/pipe_staple/test/good/0033.png,0,37.233776,0.2953,1
data/raw/pipe_staple/pipe_staple/test/good/0034.png,0,36.889889,0.2328,1
data/raw/pipe_staple/pipe_staple/test/good/0035.png,0,35.880157,0.0493,0
data/raw/pipe_staple/pipe_staple/test/good/0036.png,0,38.543896,0.5333,1
data/raw/pipe_staple/pipe_staple/test/good/0037.png,0,37.460533,0.3365,1
data/raw/pipe_staple/pipe_staple/test/good/0038.png,0,35.848454,0.0436,0
data/raw/pipe_staple/pipe_staple/test/good/0039.png,0,35.697742,0.0162,0
data/raw/pipe_staple/pipe_staple/test/good/0040.png,0,36.512657,0.1642,1
data/raw/pipe_staple/pipe_staple/test/good/0041.png,0,37.99065,0.4328,1
data/raw/pipe_staple/pipe_staple/test/good/0042.png,0,35.738716,0.0236,0
data/raw/pipe_staple/pipe_staple/test/good/0043.png,0,35.858532,0.0454,0
data/raw/pipe_staple/pipe_staple/test/good/0044.png,0,37.062397,0.2641,1
data/raw/pipe_staple/pipe_staple/test/good/0045.png,0,37.615215,0.3646,1
data/raw/pipe_staple/pipe_staple/test/good/0046.png,0,37.421944,0.3294,1
data/raw/pipe_staple/pipe_staple/test/good/0047.png,0,37.304554,0.3081,1
data/raw/pipe_staple/pipe_staple/test/good/0048.png,0,35.608551,0.0,0
data/raw/pipe_staple/pipe_staple/test/good/0049.png,0,35.738552,0.0236,0
data/raw/pipe_staple/pipe_staple/test/good/0050.png,0,37.895039,0.4154,1
data/raw/pipe_staple/pipe_staple/test/good/0051.png,0,36.04668,0.0796,0
data/raw/pipe_staple/pipe_staple/test/good/0052.png,0,36.941616,0.2422,1
data/raw/pipe_staple/pipe_staple/test/good/0053.png,0,36.332836,0.1316,1
data/raw/pipe_staple/pipe_staple/test/good/0054.png,0,37.355373,0.3173,1
data/raw/pipe_staple/pipe_staple/test/good/0055.png,0,36.84071,0.2238,1
data/raw/pipe_staple/pipe_staple/test/good/0056.png,0,36.644581,0.1882,1
data/raw/pipe_staple/pipe_staple/test/good/0057.png,0,37.123707,0.2753,1
data/raw/pipe_staple/pipe_staple/test/good/0058.png,0,38.928646,0.6032,1
data/raw/pipe_staple/pipe_staple/test/good/0059.png,0,37.109264,0.2726,1
data/raw/pipe_staple/pipe_staple/test/good/0060.png,0,36.738533,0.2053,1
data/raw/pipe_staple/pipe_staple/test/good/0061.png,0,37.473133,0.3387,1
data/raw/pipe_staple/pipe_staple/test/good/0062.png,0,37.575649,0.3574,1
data/raw/pipe_staple/pipe_staple/test/good/0063.png,0,37.21006,0.2909,1
data/raw/pipe_staple/pipe_staple/test/good/0064.png,0,36.486176,0.1594,1
data/raw/pipe_staple/pipe_staple/test/good/0065.png,0,37.722729,0.3841,1
data/raw/pipe_staple/pipe_staple/test/good/0066.png,0,36.405697,0.1448,1
data/raw/pipe_staple/pipe_staple/test/good/0067.png,0,36.16069,0.1003,1
data/raw/pipe_staple/pipe_staple/test/good/0068.png,0,36.343777,0.1336,1
data/raw/pipe_staple/pipe_staple/test/good/0069.png,0,38.53096,0.5309,1
data/raw/pipe_staple/pipe_staple/test/good/0070.png,0,37.847424,0.4067,1
data/raw/pipe_staple/pipe_staple/test/good/0071.png,0,37.230434,0.2946,1
data/raw/pipe_staple/pipe_staple/test/good/0072.png,0,37.359882,0.3182,1
data/raw/pipe_staple/pipe_staple/test/good/0073.png,0,36.012783,0.0734,0
data/raw/pipe_staple/pipe_staple/test/good/0074.png,0,38.346577,0.4974,1
data/raw/pipe_staple/pipe_staple/test/good/0075.png,0,36.727699,0.2033,1
data/raw/pipe_staple/pipe_staple/test/good/0076.png,0,36.11253,0.0916,0
data/raw/pipe_staple/pipe_staple/test/good/0077.png,0,36.090443,0.0875,0
data/raw/pipe_staple/pipe_staple/test/good/0078.png,0,36.83176,0.2222,1
data/raw/pipe_staple/pipe_staple/test/good/0079.png,0,36.880104,0.231,1
data/raw/pipe_staple/pipe_staple/test/good/0080.png,0,36.600628,0.1802,1
data/raw/pipe_staple/pipe_staple/test/good/0081.png,0,35.962269,0.0643,0
data/raw/pipe_staple/pipe_staple/test/good/0082.png,0,37.656483,0.372,1
data/raw/pipe_staple/pipe_staple/test/good/0083.png,0,37.15678,0.2813,1
data/raw/pipe_staple/pipe_staple/test/good/0084.png,0,37.64917,0.3707,1
